Player Name,Team,Overall Pick,Projection Rank,Delta,Stamp Type,Points,VOS Stamp
Floyd Canales,San Diego Padres,1,5,-4,Managed Risk,1.62412689036662,Y
Albie Reed,London Royals,2,56,-54,,0.0,N
Will Friedman,Las Vegas Knights,3,4,-1,Managed Risk,1.6458797346140275,Y
Isaac Eggert,Minnesota Twins,4,1,3,Top 100,4.193147180559945,Y
Dixon On,Boston Red Sox,5,50,-45,,0.0,N
Ben Bodie,Portland Hops,6,24,-18,Managed Risk,1.48610974479161,Y
Dan Booker,London Royals,7,217,-210,,0.0,N
Roy Huber,Cincinnati Reds,8,20,-12,Managed Risk,1.5547189562170503,Y
Fidele Santa Cruz,Philadelphia Phillies,9,9,0,Top 100,3.5,Y
Lawson McGrath,Washington Nationals,10,26,-16,Managed Risk,1.5111306094308556,Y
A.J. Reed,Baltimore Orioles,11,25,-14,Managed Risk,1.5338735539822874,Y
Jaden Duryea,Tampa Bay Rays,12,206,-194,,0.0,N
Jeff Williams,Chicago Cubs,13,104,-91,,0.0,N
Neo McKenny,Chicago White Sox,14,159,-145,,0.0,N
Adrian Brophy,Atlanta Braves,15,295,-280,,0.0,N
Heath Herman,Minnesota Twins,16,29,-13,Managed Risk,1.5445134575869863,Y
Roman Grzesiak,Seattle Mariners,17,35,-18,Managed Risk,1.48610974479161,Y
Keith Ranta,San Francisco Giants,18,128,-110,,0.0,N
Jason Semple,Vancouver Cascades,19,3,16,Top 100,4.916606672028108,Y
Thad Vachon,Chicago White Sox,20,297,-277,,0.0,N
Will Storey,Oakland Athletics,21,48,-27,Managed Risk,1.3256462732485115,Y
Brien Rivas,New York Yankees,22,100,-78,,0.0,N
Carter Crane,London Royals,23,115,-92,,0.0,N
Chase Yarmush,London Royals,24,277,-253,,0.0,N
Johnny Garner,Memphis Blues,25,151,-126,,0.0,N
K.J. Whitney,St. Louis Cardinals,26,28,-2,Managed Risk,1.6388370153723533,Y
Walt Aguirre,Indianapolis Ignition,27,45,-18,Managed Risk,1.48610974479161,Y
Carson Holtkamp,Washington Nationals,28,6,22,Top 100,5.067747107964575,Y
Tom Theriault,Arizona Diamondbacks,29,131,-102,,0.0,N
Ethan Cooper,California Angels,30,16,14,Top 100,4.854025100551105,Y
Merlin Cristobal,Montreal Expos,31,276,-245,,0.0,N
Vince Kenney,Las Vegas Knights,32,13,19,Top 100,4.997866136776995,Y
Jayce Safian,Tampa Bay Rays,33,41,-8,Managed Risk,1.5918239574966186,Y
Matthew Dooley,Colorado Rockies,34,23,11,Top 100,4.742453324894,Y
Gabe Daly,Boston Red Sox,35,66,-31,Managed Risk,1.1979398673070136,Y
Channing Homberger,Los Angeles Dodgers,36,21,15,Top 100,4.886294361119891,Y
Walt Sutton,Las Vegas Knights,37,7,30,Top 100,5.216993602242573,Y
